============================================================
  Generated by:           Encounter(R) RTL Compiler v11.10-s016_1
  Generated on:           Oct 19 2016  08:54:34 am
  Module:                 RouterCC
  Technology libraries:   CORE65GPSVT 
                          CLOCK65GPSVT 
                          CORE65GPSVT_1 
                          CLOCK65GPSVT_1 
                          CORE65GPSVT_2 
                          CLOCK65GPSVT_2 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_1 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_2 
                          physical_cells 
  Operating conditions:   nom_1.00V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           
        Gate          Instances    Area        Library     
HS65_GS_OAI211X8              1      6.240    CORE65GPSVT  
HS65_GS_OAI212X3              1      4.160    CORE65GPSVT  
HS65_GS_OAI212X5              5     20.800    CORE65GPSVT  
HS65_GS_OAI21X18              2     13.520    CORE65GPSVT  
HS65_GS_OAI21X24              4     35.360    CORE65GPSVT  
HS65_GS_OAI21X3              11     28.600    CORE65GPSVT  
HS65_GS_OAI21X9               1      5.200    CORE65GPSVT  
HS65_GS_OAI22X1               5     18.200    CORE65GPSVT  
HS65_GS_OAI31X5               2      7.280    CORE65GPSVT  
HS65_GS_OAI32X5               6     24.960    CORE65GPSVT  
HS65_GS_OR2ABX27              4     22.880    CORE65GPSVT  
HS65_GS_OR2X18                3     10.920    CORE65GPSVT  
HS65_GS_OR2X27                9     51.480    CORE65GPSVT  
HS65_GS_OR2X35                4     24.960    CORE65GPSVT  
HS65_GS_OR2X4                11     34.320    CORE65GPSVT  
HS65_GS_OR2X9                 9     28.080    CORE65GPSVT  
HS65_GS_OR3X27                1      6.760    CORE65GPSVT  
HS65_GS_OR3X9                 1      3.640    CORE65GPSVT  
HS65_GS_OR4X14                1      7.280    CORE65GPSVT  
HS65_GS_OR4X21                6     68.640    CORE65GPSVT  
HS65_GS_OR4X29                9    117.000    CORE65GPSVT  
HS65_GS_OR4X4                60    312.000    CORE65GPSVT  
HS65_GS_SDFPHRQNTX9           5     83.200    CORE65GPSVT  
HS65_GS_SDFPRQNX9            10    124.800    CORE65GPSVT  
HS65_GS_SDFPRQX9             10    124.800    CORE65GPSVT  
HS65_GS_XNOR2X18             74    500.240    CORE65GPSVT  
HS65_GS_XNOR2X27             25    260.000    CORE65GPSVT  
HS65_GS_XNOR2X35             65    743.600    CORE65GPSVT  
HS65_GS_XNOR2X9               5     26.000    CORE65GPSVT  
HS65_GS_XOR2X18             145    980.200    CORE65GPSVT  
HS65_GS_XOR2X27               2     20.800    CORE65GPSVT  
HS65_GS_XOR2X35              76    869.440    CORE65GPSVT  
HS65_GS_XOR2X4                6     28.080    CORE65GPSVT  
HS65_GS_XOR2X9               10     52.000    CORE65GPSVT  
HS65_GS_XOR3X18               4     45.760    CORE65GPSVT  
HS65_GS_XOR3X4               40    374.400    CORE65GPSVT  
HS65_GS_XOR3X9               50    468.000    CORE65GPSVT  
-----------------------------------------------------------
total                     12870  82083.040                 


   Library   Instances    Area   Instances % 
---------------------------------------------
CLOCK65GPSVT       450  2999.880         3.5 
CORE65GPSVT      12420 79083.160        96.5 

                                      
   Type    Instances    Area   Area % 
--------------------------------------
sequential      3529 36808.720   44.8 
inverter         884  2242.760    2.7 
buffer           321  2049.840    2.5 
tristate           4    46.800    0.1 
logic           8132 40934.920   49.9 
--------------------------------------
total          12870 82083.040  100.0 

